compound_id,target_id,target_family,pKd,molecular_weight,assay_confidence,assay_type,data_source
CMPD_10249,TRG_2049,Enzyme,7.662,268.177,0.959,Functional Assay,BindingDB
CMPD_10751,TRG_2051,Enzyme,7.468,208.525,0.838,SPR,InHouse
CMPD_10252,TRG_2052,Enzyme,8.36,381.938,0.749,Binding Assay,Literature
CMPD_10052,TRG_2052,Enzyme,7.115,269.669,0.522,HTS,InHouse
CMPD_10953,TRG_2053,Enzyme,7.654,325.746,0.956,Functional Assay,InHouse
CMPD_10453,TRG_2053,Enzyme,7.599,556.377,0.921,Binding Assay,Literature
CMPD_10053,TRG_2053,Enzyme,7.153,288.576,0.588,HTS,Literature
CMPD_10554,TRG_2054,Enzyme,7.439,361.893,0.648,Binding Assay,ChEMBL
CMPD_10055,TRG_2055,Enzyme,7.773,368.737,0.569,SPR,InHouse
CMPD_10358,TRG_2058,Enzyme,8.39,397.792,0.706,Functional Assay,ChEMBL
CMPD_10261,TRG_2061,Enzyme,6.516,313.289,0.241,Functional Assay,InHouse
CMPD_10062,TRG_2062,Enzyme,9.969,260.182,0.597,SPR,Literature
CMPD_10464,TRG_2064,Enzyme,9.315,298.058,0.738,Binding Assay,Literature
CMPD_10165,TRG_2065,Enzyme,7.98,264.393,0.92,Binding Assay,ChEMBL
CMPD_10366,TRG_2066,Enzyme,8.806,262.298,0.996,HTS,Literature
CMPD_10467,TRG_2067,Enzyme,7.523,288.402,0.891,Binding Assay,BindingDB
CMPD_10568,TRG_2068,Enzyme,7.789,240.65,0.616,Functional Assay,InHouse
CMPD_10868,TRG_2068,Enzyme,6.984,444.991,0.458,Binding Assay,ChEMBL
CMPD_10469,TRG_2069,Enzyme,8.648,225.528,0.718,Binding Assay,BindingDB
CMPD_10270,TRG_2070,Enzyme,7.652,299.955,0.356,Binding Assay,InHouse
CMPD_10471,TRG_2071,Enzyme,7.795,416.682,0.926,SPR,Literature
CMPD_10272,TRG_2072,Enzyme,8.154,389.522,0.671,HTS,BindingDB
CMPD_10273,TRG_2073,Enzyme,6.606,370.854,0.796,SPR,ChEMBL
CMPD_10575,TRG_2075,Enzyme,8.248,142.717,0.496,Binding Assay,Literature
CMPD_10475,TRG_2075,Enzyme,7.186,253.229,0.909,Functional Assay,ChEMBL
CMPD_10675,TRG_2075,Enzyme,6.729,209.139,0.958,Binding Assay,Literature
CMPD_10577,TRG_2077,Enzyme,6.528,381.344,0.534,Functional Assay,ChEMBL
CMPD_10378,TRG_2078,Enzyme,9.907,428.541,0.806,SPR,InHouse
CMPD_10178,TRG_2078,Enzyme,8.515,395.581,0.68,SPR,ChEMBL
CMPD_10678,TRG_2078,Enzyme,8.017,453.18,0.705,Binding Assay,InHouse
CMPD_10478,TRG_2078,Enzyme,6.823,293.599,0.308,HTS,BindingDB
CMPD_10080,TRG_2080,Enzyme,8.988,366.234,0.71,Binding Assay,ChEMBL
CMPD_10581,TRG_2081,Enzyme,6.89,396.343,0.895,Binding Assay,BindingDB
CMPD_10183,TRG_2083,Enzyme,6.92,406.72,0.356,Binding Assay,ChEMBL
CMPD_10684,TRG_2084,Enzyme,8.075,303.558,0.444,HTS,ChEMBL
CMPD_10385,TRG_2085,Enzyme,9.274,545.18,0.435,Binding Assay,BindingDB
CMPD_10485,TRG_2085,Enzyme,7.781,236.903,0.697,Functional Assay,ChEMBL
CMPD_10785,TRG_2085,Enzyme,7.32,327.494,0.804,HTS,ChEMBL
CMPD_10088,TRG_2088,Enzyme,7.352,402.684,0.243,Binding Assay,InHouse
CMPD_10488,TRG_2088,Enzyme,6.737,291.158,0.524,Functional Assay,ChEMBL
CMPD_10390,TRG_2090,Enzyme,6.938,410.714,0.233,Functional Assay,ChEMBL
CMPD_10891,TRG_2091,Enzyme,6.939,320.654,0.621,Functional Assay,Literature
CMPD_10191,TRG_2091,Enzyme,6.743,295.516,0.4,Binding Assay,InHouse
CMPD_10892,TRG_2092,Enzyme,7.879,318.659,0.876,Binding Assay,Literature
CMPD_10996,TRG_2096,Enzyme,6.791,301.058,0.612,HTS,ChEMBL
CMPD_10897,TRG_2097,Enzyme,8.839,471.705,0.887,Binding Assay,ChEMBL
CMPD_10197,TRG_2097,Enzyme,6.9,156.09,0.167,Functional Assay,ChEMBL
CMPD_10998,TRG_2098,Enzyme,9.845,315.656,0.442,SPR,Literature
CMPD_10198,TRG_2098,Enzyme,7.518,223.288,0.762,Binding Assay,ChEMBL
CMPD_10498,TRG_2098,Enzyme,7.124,365.364,0.634,SPR,Literature
CMPD_10799,TRG_2099,Enzyme,8.741,285.18,0.522,Binding Assay,ChEMBL
CMPD_10499,TRG_2099,Enzyme,7.509,325.271,0.638,SPR,InHouse
CMPD_10102,TRG_2002,GPCR,9.663,310.845,0.953,Binding Assay,Literature
CMPD_10502,TRG_2002,GPCR,7.935,406.649,0.582,Binding Assay,BindingDB
CMPD_10904,TRG_2004,GPCR,6.893,255.677,0.354,SPR,BindingDB
CMPD_10605,TRG_2005,GPCR,7.025,373.943,0.431,SPR,ChEMBL
CMPD_10706,TRG_2006,GPCR,7.875,236.531,0.881,SPR,ChEMBL
CMPD_10406,TRG_2006,GPCR,6.633,271.401,0.655,Functional Assay,ChEMBL
CMPD_10607,TRG_2007,GPCR,7.247,474.921,0.333,HTS,ChEMBL
CMPD_10907,TRG_2007,GPCR,7.169,366.093,0.891,Binding Assay,ChEMBL
CMPD_10908,TRG_2008,GPCR,7.549,372.663,0.543,Binding Assay,BindingDB
CMPD_10909,TRG_2009,GPCR,11.274,329.288,0.805,SPR,BindingDB
CMPD_10309,TRG_2009,GPCR,6.879,334.292,0.583,SPR,BindingDB
CMPD_10410,TRG_2010,GPCR,8.504,358.43,0.83,HTS,Literature
CMPD_10310,TRG_2010,GPCR,8.0,344.272,0.707,Binding Assay,Literature
CMPD_10110,TRG_2010,GPCR,7.115,415.639,0.489,Binding Assay,InHouse
CMPD_10712,TRG_2012,GPCR,6.762,304.86,0.79,HTS,InHouse
CMPD_10713,TRG_2013,GPCR,7.053,364.764,0.101,SPR,Literature
CMPD_10415,TRG_2015,GPCR,7.93,385.238,0.61,Functional Assay,ChEMBL
CMPD_10915,TRG_2015,GPCR,6.881,505.114,0.549,Functional Assay,Literature
CMPD_10417,TRG_2017,GPCR,8.164,394.199,0.973,HTS,ChEMBL
CMPD_10019,TRG_2019,GPCR,8.332,352.38,0.193,Functional Assay,BindingDB
CMPD_10319,TRG_2019,GPCR,7.964,377.719,0.421,HTS,BindingDB
CMPD_10819,TRG_2019,GPCR,6.663,291.76,0.736,Functional Assay,BindingDB
CMPD_10921,TRG_2021,GPCR,9.496,389.135,0.6,Functional Assay,ChEMBL
CMPD_10622,TRG_2022,GPCR,7.603,444.856,0.62,Binding Assay,BindingDB
CMPD_10122,TRG_2022,GPCR,6.614,352.3,0.585,HTS,BindingDB
CMPD_10223,TRG_2023,GPCR,7.755,298.245,0.505,Binding Assay,Literature
CMPD_10323,TRG_2023,GPCR,7.496,338.833,0.877,Binding Assay,ChEMBL
CMPD_10823,TRG_2023,GPCR,7.019,286.065,0.637,Functional Assay,ChEMBL
CMPD_10623,TRG_2023,GPCR,6.687,407.516,0.886,SPR,InHouse
CMPD_10924,TRG_2024,GPCR,6.76,382.785,0.752,Binding Assay,ChEMBL
CMPD_10525,TRG_2025,GPCR,7.084,278.123,0.056,Functional Assay,ChEMBL
CMPD_10625,TRG_2025,GPCR,6.627,289.456,0.567,Binding Assay,BindingDB
CMPD_10626,TRG_2026,GPCR,7.75,236.255,0.176,Binding Assay,InHouse
CMPD_10527,TRG_2027,GPCR,6.642,349.27,0.428,SPR,InHouse
CMPD_10328,TRG_2028,GPCR,6.869,300.098,0.818,SPR,Literature
CMPD_10829,TRG_2029,GPCR,8.287,329.812,0.89,HTS,ChEMBL
CMPD_10929,TRG_2029,GPCR,7.92,272.038,0.921,Functional Assay,InHouse
CMPD_10629,TRG_2029,GPCR,7.903,329.933,0.638,SPR,ChEMBL
CMPD_10330,TRG_2030,GPCR,7.107,334.745,0.732,SPR,ChEMBL
CMPD_10831,TRG_2031,GPCR,6.7,224.945,0.805,Functional Assay,InHouse
CMPD_10133,TRG_2033,GPCR,6.746,476.196,0.975,Binding Assay,ChEMBL
CMPD_10135,TRG_2035,GPCR,7.486,372.322,0.556,SPR,BindingDB
CMPD_10935,TRG_2035,GPCR,7.375,342.757,0.661,SPR,Literature
CMPD_10635,TRG_2035,GPCR,7.31,424.227,0.715,Functional Assay,Literature
CMPD_10835,TRG_2035,GPCR,6.705,605.449,0.107,Functional Assay,ChEMBL
CMPD_10236,TRG_2036,GPCR,7.598,297.887,0.879,Functional Assay,ChEMBL
CMPD_10036,TRG_2036,GPCR,6.718,371.364,0.729,SPR,Literature
CMPD_10638,TRG_2038,GPCR,9.014,472.277,0.984,SPR,Literature
CMPD_10538,TRG_2038,GPCR,7.476,301.239,0.399,Binding Assay,ChEMBL
CMPD_10338,TRG_2038,GPCR,6.744,366.088,0.761,Functional Assay,InHouse
CMPD_10738,TRG_2038,GPCR,6.518,268.065,0.563,Binding Assay,Literature
CMPD_10739,TRG_2039,GPCR,7.098,498.327,0.885,HTS,InHouse
CMPD_10740,TRG_2040,GPCR,8.065,447.683,0.628,HTS,Literature
CMPD_10940,TRG_2040,GPCR,6.562,391.048,0.576,HTS,Literature
CMPD_10141,TRG_2041,GPCR,8.49,267.879,0.896,Functional Assay,BindingDB
CMPD_10741,TRG_2041,GPCR,6.908,396.568,0.525,Functional Assay,InHouse
CMPD_10641,TRG_2041,GPCR,6.733,435.801,0.328,Binding Assay,ChEMBL
CMPD_10142,TRG_2042,GPCR,8.41,360.638,0.276,Binding Assay,BindingDB
CMPD_10643,TRG_2043,GPCR,6.927,282.863,0.953,HTS,BindingDB
CMPD_10344,TRG_2044,GPCR,9.526,480.675,0.531,Functional Assay,BindingDB
CMPD_10144,TRG_2044,GPCR,7.301,445.604,0.634,SPR,BindingDB
CMPD_10545,TRG_2045,GPCR,6.704,191.963,0.394,SPR,BindingDB
CMPD_10746,TRG_2046,GPCR,7.097,500.767,0.609,HTS,BindingDB
CMPD_10246,TRG_2046,GPCR,6.934,353.04,0.776,Binding Assay,Literature
CMPD_10448,TRG_2048,GPCR,6.736,427.11,0.75,SPR,ChEMBL
CMPD_10149,TRG_2049,GPCR,9.371,344.74,0.921,Functional Assay,ChEMBL
CMPD_10452,TRG_2052,GPCR,9.81,342.937,0.759,Functional Assay,BindingDB
CMPD_10153,TRG_2053,GPCR,8.815,174.096,0.954,Functional Assay,Literature
CMPD_10253,TRG_2053,GPCR,7.487,401.776,0.828,Binding Assay,InHouse
CMPD_10555,TRG_2055,GPCR,8.751,323.033,0.767,HTS,ChEMBL
CMPD_10955,TRG_2055,GPCR,7.998,220.695,0.547,SPR,BindingDB
CMPD_10059,TRG_2059,GPCR,7.123,332.881,0.908,Binding Assay,ChEMBL
CMPD_10060,TRG_2060,GPCR,6.872,346.043,0.779,HTS,ChEMBL
CMPD_10864,TRG_2064,GPCR,7.606,265.009,0.72,SPR,ChEMBL
CMPD_10965,TRG_2065,GPCR,8.083,369.07,0.141,Functional Assay,BindingDB
CMPD_10466,TRG_2066,GPCR,9.556,352.727,0.193,Binding Assay,ChEMBL
CMPD_10567,TRG_2067,GPCR,7.911,424.746,0.647,SPR,ChEMBL
CMPD_10768,TRG_2068,GPCR,8.978,411.286,0.695,HTS,ChEMBL
CMPD_10268,TRG_2068,GPCR,6.607,468.123,0.371,Functional Assay,Literature
CMPD_10969,TRG_2069,GPCR,7.248,430.084,0.896,SPR,ChEMBL
CMPD_10269,TRG_2069,GPCR,7.175,460.407,0.606,Binding Assay,BindingDB
CMPD_10572,TRG_2072,GPCR,7.753,393.317,0.788,Binding Assay,ChEMBL
CMPD_10375,TRG_2075,GPCR,6.569,430.785,0.705,HTS,BindingDB
CMPD_10578,TRG_2078,GPCR,8.539,231.687,0.73,HTS,BindingDB
CMPD_10978,TRG_2078,GPCR,7.481,478.982,0.923,Functional Assay,BindingDB
CMPD_10980,TRG_2080,GPCR,7.998,481.197,0.309,SPR,InHouse
CMPD_10681,TRG_2081,GPCR,9.006,252.056,0.751,Binding Assay,ChEMBL
CMPD_10582,TRG_2082,GPCR,8.23,359.566,0.716,HTS,InHouse
CMPD_10782,TRG_2082,GPCR,7.399,156.061,0.428,Binding Assay,BindingDB
CMPD_10583,TRG_2083,GPCR,8.962,272.154,0.601,Binding Assay,ChEMBL
CMPD_10184,TRG_2084,GPCR,6.995,342.821,0.857,Functional Assay,ChEMBL
CMPD_10985,TRG_2085,GPCR,8.21,282.54,0.244,SPR,ChEMBL
CMPD_10085,TRG_2085,GPCR,7.561,318.984,0.844,Binding Assay,Literature
CMPD_10987,TRG_2087,GPCR,8.095,335.929,0.754,Binding Assay,InHouse
CMPD_10487,TRG_2087,GPCR,7.784,277.687,0.789,SPR,ChEMBL
CMPD_10787,TRG_2087,GPCR,6.908,391.275,0.702,Functional Assay,Literature
CMPD_10788,TRG_2088,GPCR,7.939,224.996,0.283,Binding Assay,BindingDB
CMPD_10288,TRG_2088,GPCR,7.181,312.584,0.587,HTS,InHouse
CMPD_10392,TRG_2092,GPCR,7.766,358.336,0.569,Functional Assay,BindingDB
CMPD_10893,TRG_2093,GPCR,6.503,276.207,0.785,SPR,InHouse
CMPD_10994,TRG_2094,GPCR,8.153,290.602,0.734,Binding Assay,ChEMBL
CMPD_10696,TRG_2096,GPCR,7.146,340.324,0.588,Functional Assay,InHouse
CMPD_10097,TRG_2097,GPCR,7.748,367.903,0.821,Binding Assay,ChEMBL
CMPD_10699,TRG_2099,GPCR,8.857,315.003,0.606,HTS,ChEMBL
CMPD_10999,TRG_2099,GPCR,8.177,294.606,0.58,Binding Assay,InHouse
CMPD_10700,TRG_2000,IonChannel,7.697,407.791,0.804,HTS,ChEMBL
CMPD_10101,TRG_2001,IonChannel,6.594,307.53,0.329,Binding Assay,InHouse
CMPD_10802,TRG_2002,IonChannel,8.245,268.734,0.795,Functional Assay,ChEMBL
CMPD_10903,TRG_2003,IonChannel,7.323,375.949,0.288,Functional Assay,BindingDB
CMPD_10003,TRG_2003,IonChannel,7.183,398.847,0.918,Binding Assay,InHouse
CMPD_10803,TRG_2003,IonChannel,6.933,354.934,0.605,Binding Assay,BindingDB
CMPD_10103,TRG_2003,IonChannel,6.71,433.533,0.417,Binding Assay,ChEMBL
CMPD_10306,TRG_2006,IonChannel,6.709,432.423,0.711,Binding Assay,BindingDB
CMPD_10510,TRG_2010,IonChannel,6.914,381.086,0.815,HTS,ChEMBL
CMPD_10912,TRG_2012,IonChannel,7.744,419.704,0.478,SPR,ChEMBL
CMPD_10114,TRG_2014,IonChannel,7.289,460.573,0.162,Binding Assay,BindingDB
CMPD_10815,TRG_2015,IonChannel,6.951,269.222,0.703,SPR,BindingDB
CMPD_10816,TRG_2016,IonChannel,6.812,399.532,0.766,Binding Assay,ChEMBL
CMPD_10520,TRG_2020,IonChannel,8.479,296.553,0.908,Functional Assay,ChEMBL
CMPD_10824,TRG_2024,IonChannel,9.294,311.381,0.724,Binding Assay,BindingDB
CMPD_10624,TRG_2024,IonChannel,8.201,429.684,0.905,SPR,InHouse
CMPD_10425,TRG_2025,IonChannel,6.92,353.247,0.936,Binding Assay,ChEMBL
CMPD_10326,TRG_2026,IonChannel,6.574,399.022,0.755,Binding Assay,ChEMBL
CMPD_10327,TRG_2027,IonChannel,8.252,265.727,0.91,Functional Assay,ChEMBL
CMPD_10027,TRG_2027,IonChannel,6.728,311.7,0.719,Binding Assay,Literature
CMPD_10928,TRG_2028,IonChannel,7.282,339.389,0.866,Binding Assay,BindingDB
CMPD_10028,TRG_2028,IonChannel,6.569,450.46,0.765,SPR,BindingDB
CMPD_10229,TRG_2029,IonChannel,8.151,307.181,0.911,Functional Assay,Literature
CMPD_10030,TRG_2030,IonChannel,7.291,335.05,0.81,Functional Assay,ChEMBL
CMPD_10632,TRG_2032,IonChannel,7.117,386.471,0.828,SPR,Literature
CMPD_10533,TRG_2033,IonChannel,6.792,394.625,0.948,Binding Assay,ChEMBL
CMPD_10933,TRG_2033,IonChannel,6.675,417.794,0.802,SPR,Literature
CMPD_10544,TRG_2044,IonChannel,8.86,355.158,0.62,Functional Assay,ChEMBL
CMPD_10345,TRG_2045,IonChannel,6.606,258.292,0.693,Functional Assay,Literature
CMPD_10146,TRG_2046,IonChannel,8.826,305.286,0.822,Functional Assay,ChEMBL
CMPD_10346,TRG_2046,IonChannel,8.298,374.211,0.827,HTS,ChEMBL
CMPD_10848,TRG_2048,IonChannel,8.383,355.428,0.97,Binding Assay,Literature
CMPD_10548,TRG_2048,IonChannel,6.912,253.224,0.435,Functional Assay,BindingDB
CMPD_10949,TRG_2049,IonChannel,7.13,497.055,0.965,Binding Assay,BindingDB
CMPD_10749,TRG_2049,IonChannel,7.038,260.431,0.057,SPR,BindingDB
CMPD_10651,TRG_2051,IonChannel,7.617,415.259,0.441,Functional Assay,ChEMBL
CMPD_10552,TRG_2052,IonChannel,9.801,332.925,0.837,HTS,InHouse
CMPD_10652,TRG_2052,IonChannel,8.139,418.838,0.655,HTS,InHouse
CMPD_10553,TRG_2053,IonChannel,8.603,469.258,0.711,Binding Assay,BindingDB
CMPD_10255,TRG_2055,IonChannel,7.507,475.919,0.309,Binding Assay,BindingDB
CMPD_10956,TRG_2056,IonChannel,7.576,265.705,0.766,SPR,ChEMBL
CMPD_10756,TRG_2056,IonChannel,6.6,391.088,0.693,Functional Assay,Literature
CMPD_10757,TRG_2057,IonChannel,6.749,307.384,0.603,HTS,BindingDB
CMPD_10162,TRG_2062,IonChannel,7.887,402.016,0.787,Functional Assay,BindingDB
CMPD_10862,TRG_2062,IonChannel,6.725,343.629,0.541,HTS,InHouse
CMPD_10363,TRG_2063,IonChannel,6.561,360.046,0.542,Functional Assay,InHouse
CMPD_10565,TRG_2065,IonChannel,6.629,231.208,0.74,Functional Assay,Literature
CMPD_10968,TRG_2068,IonChannel,7.057,365.167,0.592,Binding Assay,InHouse
CMPD_10872,TRG_2072,IonChannel,8.304,365.551,0.799,Functional Assay,ChEMBL
CMPD_10172,TRG_2072,IonChannel,6.562,249.877,0.28,Functional Assay,ChEMBL
CMPD_10673,TRG_2073,IonChannel,7.56,558.135,0.321,SPR,Literature
CMPD_10573,TRG_2073,IonChannel,6.501,410.732,0.398,SPR,Literature
CMPD_10174,TRG_2074,IonChannel,7.455,343.428,0.62,Binding Assay,ChEMBL
CMPD_10274,TRG_2074,IonChannel,7.427,305.976,0.887,Binding Assay,ChEMBL
CMPD_10474,TRG_2074,IonChannel,6.671,448.214,0.889,Functional Assay,ChEMBL
CMPD_10275,TRG_2075,IonChannel,6.938,296.27,0.318,Functional Assay,BindingDB
CMPD_10979,TRG_2079,IonChannel,7.045,455.193,0.325,Binding Assay,BindingDB
CMPD_10382,TRG_2082,IonChannel,7.315,238.834,0.73,HTS,ChEMBL
CMPD_10484,TRG_2084,IonChannel,6.506,363.549,0.257,Binding Assay,InHouse
CMPD_10786,TRG_2086,IonChannel,6.937,355.359,0.523,Functional Assay,ChEMBL
CMPD_10087,TRG_2087,IonChannel,7.194,376.757,0.902,Binding Assay,ChEMBL
CMPD_10287,TRG_2087,IonChannel,6.991,442.866,0.456,Binding Assay,ChEMBL
CMPD_10093,TRG_2093,IonChannel,7.701,291.526,0.451,HTS,ChEMBL
CMPD_10793,TRG_2093,IonChannel,6.866,241.473,0.519,Binding Assay,ChEMBL
CMPD_10295,TRG_2095,IonChannel,6.846,310.499,0.532,SPR,InHouse
CMPD_10695,TRG_2095,IonChannel,6.808,401.862,0.938,Binding Assay,ChEMBL
CMPD_10496,TRG_2096,IonChannel,7.385,535.546,0.838,Functional Assay,Literature
CMPD_10797,TRG_2097,IonChannel,7.9,443.179,0.319,Binding Assay,Literature
CMPD_10697,TRG_2097,IonChannel,7.32,383.563,0.387,HTS,BindingDB
CMPD_10600,TRG_2000,Kinase,9.309,404.234,0.836,Binding Assay,BindingDB
CMPD_10900,TRG_2000,Kinase,8.655,382.298,0.905,Functional Assay,Literature
CMPD_10300,TRG_2000,Kinase,8.415,322.108,0.867,Functional Assay,ChEMBL
CMPD_10400,TRG_2000,Kinase,6.914,364.392,0.712,Binding Assay,BindingDB
CMPD_10100,TRG_2000,Kinase,6.563,552.155,0.8,Binding Assay,BindingDB
CMPD_10201,TRG_2001,Kinase,7.581,384.037,0.87,Binding Assay,ChEMBL
CMPD_10801,TRG_2001,Kinase,7.159,441.891,0.543,Binding Assay,BindingDB
CMPD_10901,TRG_2001,Kinase,7.094,348.064,0.835,HTS,Literature
CMPD_10602,TRG_2002,Kinase,9.356,522.585,0.929,Functional Assay,InHouse
CMPD_10902,TRG_2002,Kinase,7.156,277.704,0.947,SPR,ChEMBL
CMPD_10703,TRG_2003,Kinase,7.111,318.029,0.565,Binding Assay,ChEMBL
CMPD_10704,TRG_2004,Kinase,7.769,367.975,0.422,Binding Assay,BindingDB
CMPD_10005,TRG_2005,Kinase,7.29,436.462,0.562,Functional Assay,BindingDB
CMPD_10105,TRG_2005,Kinase,7.288,497.737,0.931,Binding Assay,Literature
CMPD_10006,TRG_2006,Kinase,8.965,416.714,0.746,SPR,BindingDB
CMPD_10206,TRG_2006,Kinase,6.775,470.272,0.456,SPR,ChEMBL
CMPD_10407,TRG_2007,Kinase,6.629,332.029,0.562,SPR,Literature
CMPD_10108,TRG_2008,Kinase,8.851,397.252,0.515,Binding Assay,BindingDB
CMPD_10209,TRG_2009,Kinase,8.572,352.151,0.598,Binding Assay,Literature
CMPD_10409,TRG_2009,Kinase,7.958,272.532,0.818,HTS,ChEMBL
CMPD_10809,TRG_2009,Kinase,6.621,356.892,0.691,Binding Assay,BindingDB
CMPD_10610,TRG_2010,Kinase,9.423,386.798,0.792,HTS,InHouse
CMPD_10010,TRG_2010,Kinase,6.691,384.369,0.268,HTS,Literature
CMPD_10111,TRG_2011,Kinase,7.25,390.582,0.44,Functional Assay,Literature
CMPD_10812,TRG_2012,Kinase,7.875,384.925,0.292,Functional Assay,ChEMBL
CMPD_10013,TRG_2013,Kinase,9.293,247.86,0.248,Functional Assay,InHouse
CMPD_10515,TRG_2015,Kinase,9.009,342.089,0.435,HTS,BindingDB
CMPD_10215,TRG_2015,Kinase,6.563,327.512,0.162,Binding Assay,BindingDB
CMPD_10318,TRG_2018,Kinase,6.919,423.306,0.37,HTS,InHouse
CMPD_10519,TRG_2019,Kinase,7.445,375.736,0.924,Binding Assay,ChEMBL
CMPD_10919,TRG_2019,Kinase,6.934,364.367,0.531,Functional Assay,ChEMBL
CMPD_10620,TRG_2020,Kinase,9.254,266.247,0.894,HTS,BindingDB
CMPD_10621,TRG_2021,Kinase,9.172,392.932,0.52,Binding Assay,Literature
CMPD_10721,TRG_2021,Kinase,8.391,305.905,0.884,Binding Assay,InHouse
CMPD_10821,TRG_2021,Kinase,8.012,459.99,0.905,Binding Assay,InHouse
CMPD_10021,TRG_2021,Kinase,6.786,308.716,0.822,HTS,InHouse
CMPD_10422,TRG_2022,Kinase,8.686,359.784,0.61,Binding Assay,BindingDB
CMPD_10222,TRG_2022,Kinase,8.0,354.77,0.635,Binding Assay,ChEMBL
CMPD_10722,TRG_2022,Kinase,7.466,284.544,0.788,Binding Assay,ChEMBL
CMPD_10424,TRG_2024,Kinase,10.115,353.909,0.581,SPR,Literature
CMPD_10225,TRG_2025,Kinase,8.388,381.479,0.515,Functional Assay,ChEMBL
CMPD_10528,TRG_2028,Kinase,10.065,436.872,0.849,SPR,ChEMBL
