compound_id,target_id,target_family,molecular_weight,alogP,HBD,HBA,rotatable_bonds,TPSA,assay_type,assay_pH,assay_temp_C,data_source,assay_confidence,pKd,interaction,fp_pc1,fp_pc2,fp_pc3,fp_pc4,fp_pc5,fp_pc6,fp_pc7,fp_pc8,fp_pc9,fp_pc10,fp_pc11,fp_pc12,fp_pc13,fp_pc14,fp_pc15,fp_pc16,prot_emb1,prot_emb2,prot_emb3,prot_emb4,prot_emb5,prot_emb6,prot_emb7,prot_emb8
CMPD_10032,TRG_2032,Kinase,465.758,5.402,2,6,3,162.524,Functional Assay,7.58,23.4,Literature,0.555,7.191,1,-0.0311,-0.3555,-2.3694,0.6135,-0.4859,0.0798,-0.2456,0.7026,-0.8046,-1.9446,0.7511,0.1974,0.0375,-1.0286,-0.0472,-0.9927,-0.8494,-0.9932,0.1089,0.2125,0.0406,1.245,1.3533,-0.6845
CMPD_10033,TRG_2033,Enzyme,365.724,4.114,1,6,1,144.27,Binding Assay,7.39,26.5,BindingDB,0.548,4.879,0,1.5056,-0.6396,-1.0652,-1.1761,-0.123,0.1555,2.0217,0.8732,-0.5435,1.9142,0.498,-0.2316,1.5245,-1.3307,-0.9283,0.2658,-0.1615,-0.4134,-0.5866,2.723,1.4912,0.1877,-1.1766,0.006
CMPD_10034,TRG_2034,Enzyme,432.548,2.017,1,4,6,197.73,Functional Assay,6.95,27.3,InHouse,0.43,6.688,1,0.3261,-0.7193,0.865,1.4953,-0.5432,-0.9463,0.1771,0.7005,-0.6138,0.7154,1.3057,-0.7172,-1.7873,-1.59,-0.3162,1.9984,0.4651,-0.9819,-0.208,0.9754,0.5653,3.2063,1.0287,0.544
CMPD_10035,TRG_2035,Enzyme,231.155,0.896,1,1,6,41.418,Binding Assay,6.87,29.4,ChEMBL,0.287,4.602,0,0.947,-0.8333,2.1434,-1.5573,0.579,0.39,-0.1952,-0.4152,0.8477,-0.635,0.3194,-1.0386,0.8189,0.9795,0.5931,0.2566,0.189,1.8847,0.5751,-1.3221,2.4002,-0.4691,-0.8053,0.2825
CMPD_10036,TRG_2036,GPCR,371.364,-1.373,1,4,5,125.127,SPR,5.99,26.0,Literature,0.729,6.718,1,-1.0424,-0.4976,0.0728,-0.3791,-0.5849,1.3118,-0.8808,0.9287,-1.0886,-0.9585,-1.3161,0.701,0.4697,-0.5535,-0.2689,-0.4435,-0.5546,-0.6087,1.4495,-0.3488,0.279,0.9627,0.0009,-0.8425
CMPD_10037,TRG_2037,Kinase,421.17,1.206,0,6,4,100.47,SPR,7.29,23.3,BindingDB,0.803,4.589,0,0.3475,-0.5016,0.6058,-0.4269,-0.708,-0.6142,0.6655,0.7454,-0.7686,-0.568,-1.5447,0.4226,-0.4111,-0.7039,-0.1684,0.4755,-0.7039,0.821,1.4983,-0.1219,-1.8131,-0.3695,-1.0431,-0.8801
CMPD_10038,TRG_2038,Transporter,356.583,2.12,0,4,3,107.78,Binding Assay,7.38,24.7,InHouse,0.784,6.446,0,-0.1272,-0.4088,0.4258,0.5256,-0.0272,-0.0591,-0.4136,-0.9698,2.23,-0.1582,-0.6232,0.6362,-0.8266,0.6563,-0.4719,-0.8636,-0.2382,-0.0837,-0.3412,-0.3727,-1.0944,-0.0263,-1.0595,0.9548
CMPD_10039,TRG_2039,GPCR,435.238,0.723,0,8,2,71.356,Binding Assay,7.17,21.6,ChEMBL,0.85,5.157,0,-0.6059,-0.4613,0.1134,0.6125,-1.3029,-0.0438,0.227,0.2906,0.5007,1.3336,0.7442,0.4315,-1.0768,0.2231,0.1177,-0.5134,0.2367,-1.5571,0.1187,-0.0311,0.3457,0.3587,1.3416,-0.866
CMPD_10040,TRG_2040,Kinase,308.617,2.264,1,4,3,47.657,Functional Assay,7.29,27.2,BindingDB,0.759,7.655,1,0.4105,0.1785,-1.2498,0.0257,-0.6082,-0.3845,0.3161,-1.8891,0.6255,0.0233,-1.036,-1.7378,0.4674,1.3207,-1.3657,-0.112,-1.9031,1.175,-0.5376,1.0162,0.2255,-0.6868,-0.6422,-1.4027
CMPD_10041,TRG_2041,GPCR,462.748,2.638,3,10,4,170.947,Functional Assay,6.48,18.8,Literature,0.874,5.689,0,-0.5118,-0.0518,-0.7072,-0.4895,-0.8217,-1.0034,-1.1399,0.8189,-0.2972,1.3687,-2.7693,-0.0229,-2.3974,0.8408,-0.2708,-1.0203,1.513,-0.3887,0.8698,-1.4645,-0.642,-0.3347,-0.5285,-0.5268
CMPD_10042,TRG_2042,Kinase,533.912,2.095,1,5,4,100.835,SPR,7.02,28.1,Literature,0.35,6.553,1,0.2498,0.1034,-0.325,-1.691,0.7346,-1.0669,-0.0857,-1.9324,-0.5414,-0.2779,-1.6111,-1.3966,0.0595,1.3893,0.7755,-0.9223,2.3859,0.3654,1.1849,0.5303,0.457,-0.0731,1.2826,-1.5314
CMPD_10043,TRG_2043,Enzyme,320.973,1.33,1,7,4,120.885,Functional Assay,6.81,28.4,ChEMBL,0.668,6.091,0,0.7559,0.4734,0.4218,0.3801,0.188,0.2464,-0.655,-0.84,-0.033,1.0475,1.4769,-0.769,0.0711,-0.8434,-0.0463,0.4402,-0.3428,1.8959,-0.0631,-0.5202,-0.6912,-0.8178,0.9566,0.9764
CMPD_10044,TRG_2044,GPCR,314.36,2.804,3,3,8,67.262,Binding Assay,7.6,16.2,ChEMBL,0.763,6.229,0,0.0835,0.9889,-1.9388,-0.2248,0.6665,-0.8626,0.4512,-0.3278,-0.8341,-0.4876,0.0704,0.636,0.1088,-1.0956,-0.25,0.1222,1.1369,-0.3011,-0.3838,-1.212,1.5477,-0.9915,0.8573,-1.5659
CMPD_10045,TRG_2045,Transporter,466.271,3.295,1,5,3,62.86,Binding Assay,7.22,28.8,BindingDB,0.729,5.432,0,1.2234,1.9341,0.0058,1.2513,-0.7833,-0.4217,-0.0909,0.2928,-1.5978,0.6167,-1.0173,-0.2532,-0.3895,-0.4308,1.5368,0.7215,-0.3095,-0.8726,1.3176,0.0175,-0.8377,1.7207,-0.6598,0.4511
CMPD_10046,TRG_2046,GPCR,476.366,0.537,0,7,4,41.367,Binding Assay,6.82,28.1,ChEMBL,0.729,5.953,0,1.6764,-1.0904,0.1548,-1.7425,1.5165,0.3402,0.1552,0.2727,-0.895,-0.5436,-0.7608,0.5691,-0.4906,-1.2658,1.3248,-0.1321,1.604,-0.2063,-0.5625,0.925,-0.2003,1.6025,-0.5065,0.4071
CMPD_10047,TRG_2047,IonChannel,308.171,5.04,1,5,3,150.99,Binding Assay,7.1,24.1,InHouse,0.113,3.124,0,-1.1692,1.2803,0.6918,-0.2242,-1.787,0.3707,1.0796,-0.4999,0.597,-0.7847,-0.1088,-0.7086,0.2614,1.5317,-0.1054,-0.0869,-0.9358,1.4156,0.5376,1.6308,0.3835,0.262,0.6259,0.1749
CMPD_10048,TRG_2048,IonChannel,316.385,2.323,0,4,5,18.699,Functional Assay,6.58,21.4,ChEMBL,0.836,5.843,0,0.5672,-0.5091,-0.2042,-0.2728,0.6299,0.6513,0.1439,0.1688,1.3087,0.6667,-0.0598,-0.661,0.9797,0.6297,0.441,0.4243,1.6275,-0.5963,1.4718,-0.7283,-0.2826,-0.1642,0.7751,2.5798
CMPD_10049,TRG_2049,Kinase,327.457,2.534,0,6,6,95.662,Binding Assay,7.0,22.5,ChEMBL,0.956,5.048,0,0.5884,-0.5553,1.5246,0.0889,-0.3803,1.2334,0.2777,0.6629,0.4098,-1.0545,0.9934,-0.7069,-2.0142,0.084,0.442,0.6136,-0.3053,-0.8465,0.9102,-0.1774,-1.0181,0.7592,0.0401,-0.6472
CMPD_10050,TRG_2050,Enzyme,242.444,3.775,4,5,7,86.891,HTS,7.55,22.7,InHouse,0.465,6.195,0,-0.4481,0.5758,0.78,-0.4539,-0.267,1.3671,-0.7354,0.3344,0.1639,1.1446,0.0782,-0.615,0.8745,1.0519,-0.47,-0.489,-0.3902,-1.1428,-0.5922,1.4072,-0.0729,-0.56,0.6083,0.1327
CMPD_10051,TRG_2051,Transporter,276.508,2.92,1,4,7,30.424,SPR,6.4,28.9,BindingDB,0.45,3.197,0,-0.1918,-0.4603,-1.3977,0.2706,-1.5657,0.8288,-0.5627,-2.0075,-1.6272,1.318,-1.1931,0.4607,-0.0976,-1.5025,-0.6096,-0.0244,-0.4864,-0.7554,0.1107,-0.0313,0.6633,-0.6039,-0.384,0.0342
CMPD_10052,TRG_2052,Enzyme,269.669,4.216,0,3,3,58.76,HTS,7.16,23.7,InHouse,0.522,7.115,1,0.5782,0.3566,2.7068,0.7921,1.4309,0.7377,0.1932,-0.9203,0.4831,-0.1866,0.2568,-0.2939,0.7597,0.0981,0.902,-0.7524,-0.2901,0.2817,-0.103,-0.8468,1.4649,-2.1432,1.0402,0.2902
CMPD_10053,TRG_2053,Enzyme,288.576,3.017,2,5,3,105.726,HTS,6.75,27.7,Literature,0.588,7.153,1,1.0924,1.5755,0.2952,-0.5267,1.3013,1.4078,-1.0304,-0.1906,0.0512,1.5369,0.2318,-0.1923,0.9647,1.2447,1.5652,0.1032,0.7458,-1.3783,1.1312,-1.1921,-3.1635,-0.2151,-0.547,0.3276
CMPD_10054,TRG_2054,IonChannel,347.225,1.398,0,4,3,115.9,Binding Assay,6.4,24.6,ChEMBL,0.641,5.302,0,-0.1271,1.6368,0.6432,0.4556,-0.8527,0.3027,1.5667,-1.5334,-0.9741,-1.4375,0.9387,0.2826,-0.0608,-1.3748,0.2682,1.1359,-0.9389,2.3222,-2.0287,0.1654,-0.3146,-1.0825,1.2653,-1.3963
CMPD_10055,TRG_2055,Enzyme,368.737,3.151,0,3,3,92.198,SPR,8.32,25.2,InHouse,0.569,7.773,1,-2.2876,-0.1497,-0.0286,0.1733,-1.0313,-1.2632,1.0105,1.4275,-0.4032,-0.4784,-1.3145,-2.0158,-0.0791,0.0498,0.8907,0.2382,-1.0075,0.7063,1.412,-2.1918,-0.7398,-1.0379,-1.9849,-0.7235
CMPD_10056,TRG_2056,Kinase,474.04,0.441,0,7,7,151.688,Binding Assay,7.95,20.3,ChEMBL,0.475,8.996,1,-1.7869,-1.0641,2.2609,0.8475,-0.4039,-0.8226,-0.813,0.3175,-1.2242,0.9722,0.4661,0.7636,-0.1598,-1.5162,-0.6717,-0.6554,0.6272,-0.2991,1.1974,0.8191,0.4017,0.3719,0.3653,1.8144
CMPD_10057,TRG_2057,Kinase,270.132,2.695,2,7,4,76.95,Binding Assay,6.84,21.6,BindingDB,0.873,8.01,1,-0.9652,-0.6054,1.5787,-0.1609,-2.4459,-0.4666,-2.2602,0.8991,-0.231,-2.7589,0.9668,-0.2005,0.1663,-1.4235,0.2131,-0.889,-1.4226,-0.1594,-0.0507,-0.499,-1.7197,0.2055,-0.6936,0.8115
CMPD_10058,TRG_2058,Kinase,428.746,2.44,1,8,5,89.807,SPR,7.03,28.9,ChEMBL,0.94,6.433,0,1.3662,-0.3107,1.1721,0.9102,0.9372,0.6488,0.1854,0.1019,0.6794,-1.2465,0.4706,1.0867,0.3209,0.046,0.7436,1.1955,-1.154,-1.336,2.963,0.9437,0.7398,0.7692,0.6635,-0.2935
CMPD_10059,TRG_2059,GPCR,332.881,2.125,1,3,2,147.884,Binding Assay,5.99,24.5,ChEMBL,0.908,7.123,1,1.4006,-0.5689,-0.5774,0.0112,-1.573,-1.3402,0.33,-1.4892,-0.0923,-0.0339,-0.5365,-1.6021,-0.7272,-0.8846,-0.4191,0.4408,-0.3762,0.8687,0.0522,-0.9298,-0.0685,0.0035,-0.5212,0.3564
CMPD_10060,TRG_2060,GPCR,346.043,2.269,3,4,5,112.11,HTS,6.24,25.9,ChEMBL,0.779,6.872,1,-0.7631,2.5873,0.1177,-0.4845,1.6665,-1.1183,1.501,0.48,-1.5596,0.4616,-2.262,-0.193,0.8444,-1.829,0.2485,-1.1507,0.4949,-1.1444,-0.324,0.5189,0.0983,-2.2406,0.0145,1.289
CMPD_10061,TRG_2061,GPCR,403.986,-0.887,1,4,6,47.514,Functional Assay,6.52,30.4,ChEMBL,0.556,5.913,0,0.8918,-0.8217,0.5919,0.8493,-0.2178,0.0828,-0.5327,0.0675,0.9462,-0.5365,-1.4354,-2.4455,1.1483,0.3204,-0.9392,1.1799,-0.7541,0.3255,-0.1497,0.8238,-0.0501,-0.554,-0.0345,-0.9881
CMPD_10062,TRG_2062,Enzyme,260.182,1.512,0,1,10,98.922,SPR,7.18,24.6,Literature,0.597,9.969,1,2.777,0.9348,-1.4702,-0.4947,-0.511,-0.0903,-1.0452,0.9794,-0.1557,-0.1978,-2.2519,0.9599,0.3566,-0.3274,-0.3017,0.1416,1.014,1.4165,-1.2379,-0.1925,1.4871,0.7938,0.0809,-0.0217
CMPD_10063,TRG_2063,GPCR,380.593,2.667,0,5,2,89.557,Binding Assay,7.13,24.4,InHouse,0.695,6.309,0,-1.3454,1.9305,-1.0521,0.6031,1.1557,-0.6144,0.0579,1.3362,-0.5391,0.3416,0.0201,-0.6139,0.3012,0.2795,-1.3484,-1.7563,-1.4263,-2.2189,-0.1916,0.0843,-0.7062,0.3436,-1.4762,0.3042
CMPD_10064,TRG_2064,GPCR,363.316,2.788,1,4,6,97.417,Functional Assay,7.4,28.6,Literature,0.227,4.84,0,0.3133,0.091,-0.324,0.7255,-0.113,0.3844,0.8005,0.5329,-0.9531,-0.8078,-3.3859,0.6503,-0.0977,0.3529,0.6446,-1.6439,1.2127,-0.762,0.8383,1.359,2.8387,-0.5251,-0.4361,0.1234
CMPD_10065,TRG_2065,IonChannel,389.396,0.65,2,5,7,117.147,Binding Assay,7.61,25.0,BindingDB,0.977,6.43,0,2.2025,-0.4338,0.9277,0.0864,0.4368,-0.5137,-1.3635,-0.3675,-0.9119,0.3218,-0.6399,0.43,-1.6516,0.1943,-1.0261,1.1752,1.3595,0.0092,-0.9622,-0.2326,0.0063,-1.2591,0.7761,-0.4714
CMPD_10066,TRG_2066,Kinase,373.133,4.778,1,5,3,80.222,SPR,7.37,26.0,ChEMBL,0.786,6.434,0,-0.4224,1.7567,-1.5555,0.8475,-0.7982,2.3183,0.5608,0.4923,0.352,0.5911,0.7998,-1.1275,1.1786,-0.0199,0.7352,0.9557,-0.0296,-0.3617,-0.2729,0.8166,-0.3166,0.7403,0.7414,-0.4858
CMPD_10067,TRG_2067,Enzyme,546.424,0.941,0,5,5,236.049,Binding Assay,6.55,28.0,ChEMBL,0.485,6.189,0,1.288,-0.0716,0.5289,-1.5878,-0.1278,-2.1726,-1.3438,0.7438,1.4889,0.6658,0.803,1.6176,0.7468,0.7186,-1.6843,0.1307,-0.2487,-0.5854,0.7715,0.8982,-1.2748,-0.8355,1.0,-0.7511
